text_index,subject,predicate,object
0,63% россиян,считают,забота
0,забота,это стремление,сделать жизнь партнера проще
0,забота,состоит,из умения предугадывать потребности
0,забота,состоит,из эмоциональной связи
0,проявлять заботу,мнению наиболее важно,поддержку в трудные минуты
0,при этом внимание к эмоциональному состоянию партнера и помощь в бытовых вопросах,важны,при этом внимание к эмоциональному состоянию партнера (58%) и помощь в бытовых вопросах (49%)
0,Помимо покупки необходимых вещей,являются,53%
0,каждый третий опрошенный,выражает,"заботу, встречая партнера после работы"
0,проявления заботы,нередко остаются,незамеченными
1,организаторы,объявили,вторую волну участников музыкальной программы
1,Белорусский рэп-исполнитель ЛСП,выступит,в программе фестиваля
1,поп-певица Елка,выступит,в программе фестиваля
1,организаторы,отмечают,важность интерактивных зон для гостей
1,для детей,предусмотрен,отдельный городок
1,для детей,предусмотрены,зоны и площадка
2,Активисты,оспаривают,статью городского закона «Об объектах культурного наследия»
2,«Архнадзор»,не согласен с такой позицией и намерен продолжать обжаловать,ее в Верховном суде
2,Рустам Рахматуллин,является,краеведом
2,Рустам Рахматуллин,является,градозащитником
2,Рустам Рахматуллин,является,автором книг о метафизике Москвы
2,московские градозащитники,задумались,"о коалиции, об объединении усилий"
2,Архнадзор,появился,в феврале 2009 г.
2,выявленные объекты культурного наследия,должны были пройти экспертизу,на включение в Единый государственный реестр до 1 июля 2025 г.
2,Города,ответили,принятие закона
2,новый закон,помогает,эффективно охранять и использовать выявленные объекты культурного наследия
2,наши юристы,работают,на волонтерской основе
2,Закон,говорит,"«Ребята, мы сняли охранный статус в тысяне мест»"
2,Застройщики,начинают собирать,бумажки под снос
2,Уголовная ответственность,появилась,поэтому
2,Я,понимаю,как иначе
2,мэрия Москвы,прекратила принимать,заявки о постановке зданий на госохрану
2,мэрия,подчеркивала,существование этого списка
2,мы,продолжаем,свою деятельность
2,мы,стараемся,на каждой точке противостоять разрушению
2,мы,участвуем,в работе Госдумы
2,Дом,оказывается,"стройкой XVII века, или, например, первой половины XVIII века"
2,Объект культурного наследия,является,памятник архитектуры
2,Закон,ставит,ограничение в 40 лет
2,что-нибудь,есть,"архитектурно значимое в домике, где родился Чехов"
2,трехэтажное здание,стоит,на Ленивке близ угла Волхонки проведенное нами на государственную охрану
2,мастерская художника,является,простое здание с большим окном
2,ценные здания на этой территории,охраняются,среда памятника
2,Закона о защите самой исторической среды,есть,нет
2,режим охранной зоны,запрещает,строительную деятельность
2,Памятники старины и небоскребы,едва ли могут,гармонично сосуществовать
2,Модернизм,привычно вышибать,историческую среду
2,Петербург,держится,камень сложнее с места сдвинуть
2,город на левом берегу Невы,эклектичен,в огромной степени
2,Петроградская сторона,была к услугам,Петербурга
2,Аксонометрческие планы,показывают,городскую застройку в объеме
2,Город») Петербурга XVIII века,показывают,что город был в этом смысле очень просторный
2,усадебной структурой,боролся,доходный дом
