text_index,subject,predicate,object,subject_lemma,predicate_lemma,informative
0,63% россиян,считают,забота,63% россиянин,считать,True
0,забота,это стремление,сделать жизнь партнёра проще,забота,это стремление,True
0,забота,состоит,из умения предугадывать потребности,забота,состоять,True
0,забота,состоит,из эмоциональной связи,забота,состоять,True
0,55% респондентов,чувствуют себя любимыми,когда партнер покупает нужные вещи без напоминаний,55% респондент,чувствовать себя любимый,True
0,49%,ценят,"помощь с задачами, на которые не хватает сил",49%,ценить,True
0,38%,воспринимают как проявление заботы,собранный на работу обед или заранее подготовленную одежду,38%,воспринимать как проявление забота,True
0,они,называют,приготовление чая или кофе (48%),они,называть,False
0,каждый третий опрошенный,предпочитает выражать,"заботу, встречая партнера после работы (33%)",каждый третий опросить,предпочитать выражать,True
0,участники,назвали,помощь с уборкой дома (43%),участник,назвать,True
0,участники,назвали,помощь с ремонтом (42%),участник,назвать,True
1,организаторы,объявили,вторую волну участников музыкальной программы,организатор,объявить,True
1,организаторы,отмечают,"для детей предусмотрен отдельный городок с театром, конструктором, кулинарной и спортивной зонами и площадкой «Малышариков»",организатор,отмечать,True
2,Активисты,оспаривают,статью городского закона «Об объектах культурного наследия»,активист,оспаривать,True
2,суд,встал на сторону,ответчиков,суд,встать на сторона,True
2,«Архнадзор»,намерен продолжать обжаловать,её,архнадзор,намеренный продолжать обжаловать,True
2,вы,расскажите,начала «Архнадзор»,вы,рассказать,False
2,"проект «Москва, которой нет»",образовался,"проект «Москва, которой нет»",проект москва который нет,образоваться,True
2,потребность в градозащите,была,велика,потребность в градозащита,быть,True
2,"«Москва, которой нет»",приняла на себя,эту роль,москва который нет,принять на себя,True
2,градозащитники,задумались о,"коалиции, об объединении усилий",градозащитник,задуматься о,True
2,«Архнадзор»,появился,«Архнадзор»,архнадзор,появиться,True
2,предпосылкой,стало,изменение характера информационных технологий,предпосылка,стать,True
2,интернет,достиг,"такого состояния, что градозащита приняла современные формы",интернет,достигнуть,True
2,собственные площадки,появились,"собственные площадки, которые стали нашим рупором",собственный площадка,появиться,True
2,Мосгордума,приняла закон,выявленные объекты культурного наследия должны были пройти экспертизу на включение в Единый государственный реестр до 1 июля 2025 г.,мосгордума,принять закон,True
2,исключенных зданий,более,1300,исключить здание,более,True
2,города,ответили,принятие закона позволило усилить и упорядочить контроль за состоянием объектов культурного наследия в столице,город,ответить,False
2,новый закон,помогает,более эффективно охранять и использовать в интересах москвичей выявленные объекты культурного наследия,новый закон,помогать,True
2,мы,стараемся,грамотно распределять ресурсы,мы,стараться,False
2,мы,не реагировать,уже не получается,мы,не реагировать,False
2,работа архитекторов-реставраторов на натуре,состоит из,"искусствоведов, историков архитектуры, историков искусства, художников-реставраторов, некрополистов",работа архитектор реставратор на натура,состоять из,True
2,многих исследователей,нет,на свете,многий исследователь,нет,True
2,кто-то из них,в,преклонном возрасте,кто то из они,в,True
2,закон,поощряет,вандализм,закон,поощрять,True
2,памятнику,достаточно быть,"выявленным, чтобы находиться под защитой закона",памятник,достаточно быть,True
2,мэрия Москвы,прекратила принимать,заявки о постановке зданий на госохрану,мэрия москва,прекратить принимать,True
2,мы,создали,список «Реновация без сноса»,мы,создать,False
2,список,выглядел,как приложение к документам по реновации,список,выглядеть,True
2,мы,стараемся,противостоять разрушению,мы,стараться,False
2,мы,участвуем,в работе Госдумы,мы,участвовать,False
2,мы,входим,в рабочую группу при комитете по культуре,мы,входить,False
2,поправки 2015 г.,были приняты,в закон «Об объектах культурного наследия»,поправка 2015 г,быть принять,True
2,памятники,выявляются,по нескольким основным направлениям,памятник,выявляться,True
2,объект культурного наследия,это не всегда,памятник архитектуры,объект культурный наследие,это не всегда,True
2,мемориальное здание,это может быть,"мемориальное здание самого скромного вида, в котором кто-нибудь родился, жил, творил, бывал",мемориальный здание,это мочь быть,True
2,закон,ставит ограничение,в 40 лет для подачи заявки на охрану,закон,ставить ограничение,True
2,закон,называется,«Об объектах культурного наследия»,закон,называться,True
2,"домике, где родился Чехов, или в домике Лермонтова в Тамани или в Пятигорске",ценны,по соображениям мемориальности,домик где родиться чехов или в домик лермонтов в тамань или в пятигорск,ценный,True
2,на его втором этаже,была,мастерская Тропинина,на он второй этаж,быть,True
2,на его третьем этаже с большим окном,была,мастерская Серова,на он третий этаж с больший окно,быть,True
2,У каждого памятника,есть,охранная зона,у каждый памятник,есть,True
2,Закон,нет,защиты самой исторической среды,закон,нет,True
2,режим охранной зоны,запрещает,строительную деятельность на этом месте,режим охранный зона,запрещать,True
2,режим и границы охранной зоны,могут меняться,,режим и граница охранный зона,мочь меняться,True
2,девелоперы,идут,в центр,девелопер,идти,True
